Title,Title Link,Author,Journal,Year,Citation Count,Snippet,Abstract
Structure Sensitivity of La2O2CO3 Catalysts in the Oxidative Coupling of Methane,https://pubs.acs.org/doi/abs/10.1021/cs501733r,"YH Hou, WC Han, WS Xia, HL Wan - ACS Catalysis, 2015 - ACS Publications","YH Hou, WC Han, WS Xia, HL Wan - ACS Catalysis, 2015",ACS Publications,Save Cite Cited by 130 Related articles,"… Methane is the main component of natural gas and shale gas… selective transformation of 
methane represents a substantial … samples in the oxidative coupling of methane (OCM) at low …","… Methane is the main component of natural gas and shale gas… selective transformation of 
methane represents a substantial … samples in the oxidative coupling of methane (OCM) at low …"
[PDF][PDF] Oxidative coupling of methane,https://pure.mpg.de/rest/items/item_736944/component/file_932942/content,"M Baerns, EV Kondratenko - Handbook of heterogeneous catalysis, 2008 - pure.mpg.de","M Baerns, EV Kondratenko - Handbook of heterogeneous catalysis, 2008",pure.mpg.de,Save Cite Cited by 64 Related articles All 3 versions,"… oxidative coupling ofmethane suffer from the high costs for low-temperature separations of 
C3 products from the reactor effluent containing a high concentration of unconverted methane …","… oxidative coupling ofmethane suffer from the high costs for low-temperature separations of 
C3 products from the reactor effluent containing a high concentration of unconverted methane …"
Advanced reactor concepts for oxidative coupling of methane,https://www.tandfonline.com/doi/abs/10.1080/01614940.2017.1348085,"A Cruellas, T Melchiori, F Gallucci… - Catalysis …, 2017 - Taylor & Francis","A Cruellas, T Melchiori, F Gallucci… - Catalysis …, 2017",Taylor & Francis,Save Cite Cited by 68 Related articles All 10 versions,"… A direct route for the production of ethylene from natural gas in a single step is the widely 
investigated oxidative coupling of methane (OCM), which involves conversion of methane …","… A direct route for the production of ethylene from natural gas in a single step is the widely 
investigated oxidative coupling of methane (OCM), which involves conversion of methane …"
Kinetics of oxidative coupling of methane: Bridging the gap between comprehension and description,https://www.sciencedirect.com/science/article/pii/S1003995308601280,"MY Sinev, ZT Fattakhova, VI Lomonosov… - Journal of Natural Gas …, 2009 - Elsevier","MY Sinev, ZT Fattakhova, VI Lomonosov… - Journal of Natural Gas …, 2009",Elsevier,Save Cite Cited by 138 Related articles All 8 versions,"… of the oxidative coupling of methane (OCM) over … of methane oxidation in gas. However, 
some important features, such as a non-additive character of the reciprocal influence of methane …","… of the oxidative coupling of methane (OCM) over … of methane oxidation in gas. However, 
some important features, such as a non-additive character of the reciprocal influence of methane …"
Methane utilization by oxidative coupling: I. A study of reactions in the gas phase during the cofeeding of methane and oxygen,https://www.sciencedirect.com/science/article/pii/0021951788902448,"GS Lane, EE Wolf - Journal of Catalysis, 1988 - Elsevier","GS Lane, EE Wolf - Journal of Catalysis, 1988",Elsevier,Save Cite Cited by 185 Related articles All 6 versions,"… oxidative coupling of methane has been investigated in the absence of catalysts by cofeeding 
methane … conditions significant gas-phase oxidative coupling can occur in the absence of …","… oxidative coupling of methane has been investigated in the absence of catalysts by cofeeding 
methane … conditions significant gas-phase oxidative coupling can occur in the absence of …"
The relationship between the structure and the performance of Na-W-Mn/SiO2 catalysts for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0926860X0100864X,"S Ji, T Xiao, S Li, C Xu, R Hou, KS Coleman… - Applied Catalysis A …, 2002 - Elsevier","S Ji, T Xiao, S Li, C Xu, R Hou, KS Coleman… - Applied Catalysis A …, 2002",Elsevier,Save Cite Cited by 179 Related articles All 8 versions,"… However, continuous direct oxidation of methane to olefins [2], [3], [4], methanol [5] or … direct 
catalytic conversion of methane to C 2 hydrocarbons by oxidative coupling of methane (OCM)…","… However, continuous direct oxidation of methane to olefins [2], [3], [4], methanol [5] or … direct 
catalytic conversion of methane to C 2 hydrocarbons by oxidative coupling of methane (OCM)…"
Alternative oxidants for the catalytic oxidative coupling of methane,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202012862,"AM Arinaga, MC Ziegelski… - Angewandte Chemie …, 2021 - Wiley Online Library","AM Arinaga, MC Ziegelski… - Angewandte Chemie …, 2021",Wiley Online Library,Save Cite Cited by 47 Related articles All 6 versions,"… The catalytic oxidative coupling of methane (OCM) to C 2 hydrocarbons with oxygen (O 2 
‐… progress in depth, recent oxidative coupling developments using alternative oxidants (X‐OCM…","… The catalytic oxidative coupling of methane (OCM) to C 2 hydrocarbons with oxygen (O 2 
‐… progress in depth, recent oxidative coupling developments using alternative oxidants (X‐OCM…"
Kinetics of the oxidative coupling of methane over 1 wt% SrLa2O3,https://www.sciencedirect.com/science/article/pii/0021951788902771,"JM Deboy, RF Hicks - Journal of Catalysis, 1988 - Elsevier","JM Deboy, RF Hicks - Journal of Catalysis, 1988",Elsevier,Save Cite Cited by 137 Related articles All 4 versions,"… The results obtained in this study have further defined the reaction network for the oxidative 
coupling of methane. Methane reacts to form ethane and carbon monoxide. Ethane is …","… The results obtained in this study have further defined the reaction network for the oxidative 
coupling of methane. Methane reacts to form ethane and carbon monoxide. Ethane is …"
Recent advances and future prospect in catalysts for oxidative coupling of methane to ethylene: A review,https://www.sciencedirect.com/science/article/pii/S1226086X17305671,"Y Gambo, AA Jalil, S Triwahyono… - Journal of industrial and …, 2018 - Elsevier","Y Gambo, AA Jalil, S Triwahyono… - Journal of industrial and …, 2018",Elsevier,Save Cite Cited by 186 Related articles All 3 versions,"… oxidative coupling of methane (OCM) remains an indispensable prospective approach for 
converting methane … understanding of the oxidative coupling of methane process in terms of its …","… oxidative coupling of methane (OCM) remains an indispensable prospective approach for 
converting methane … understanding of the oxidative coupling of methane process in terms of its …"
Oxidative coupling of methane in the gas phase. Kinetic simulation and experimental verification,https://pubs.acs.org/doi/pdf/10.1021/ie00097a001,"H Zanthoff, M Baerns - Industrial & engineering chemistry …, 1990 - ACS Publications","H Zanthoff, M Baerns - Industrial & engineering chemistry …, 1990",ACS Publications,Save Cite Cited by 171 Related articles All 2 versions,"… scheme, especially the coupling reaction 2CH3* -* C2H6. Since ethylene would be the 
desired product in an industrial application of the oxidative coupling process, the decrease of the …","… scheme, especially the coupling reaction 2CH3* -* C2H6. Since ethylene would be the 
desired product in an industrial application of the oxidative coupling process, the decrease of the …"
Oxidative coupling of methane: Mechanism and kinetics,https://link.springer.com/article/10.1134/S0023158416050128,"VI Lomonosov, MY Sinev - Kinetics and Catalysis, 2016 - Springer","VI Lomonosov, MY Sinev - Kinetics and Catalysis, 2016",Springer,Save Cite Cited by 75 Related articles All 5 versions,"… The mechanism of the oxidative coupling of methane (OCM), … -step synthetic route from 
methane to ethylene, a valuable … to separately determine the methane conversion via the main …","… The mechanism of the oxidative coupling of methane (OCM), … -step synthetic route from 
methane to ethylene, a valuable … to separately determine the methane conversion via the main …"
New efficient catalysts for the oxidative coupling of methane,https://link.springer.com/article/10.1023/A:1019072512423,"A Palermo, JP Holgado Vazquez, RM Lambert - Catalysis letters, 2000 - Springer","A Palermo, JP Holgado Vazquez, RM Lambert - Catalysis letters, 2000",Springer,Save Cite Cited by 115 Related articles All 8 versions,"… The oxidative coupling of methane (OCM) to higher hy… they achieved 100% methane 
conversion with good selectivity … , ethylene selectivity at high methane conversion provides the …","… The oxidative coupling of methane (OCM) to higher hy… they achieved 100% methane 
conversion with good selectivity … , ethylene selectivity at high methane conversion provides the …"
Correlation of methane activation and oxide catalyst reducibility and its implications for oxidative coupling,https://pubs.acs.org/doi/abs/10.1021/acscatal.5b02657,"G Kumar, SLJ Lau, MD Krcha, MJ Janik - ACS Catalysis, 2016 - ACS Publications","G Kumar, SLJ Lau, MD Krcha, MJ Janik - ACS Catalysis, 2016",ACS Publications,Save Cite Cited by 126 Related articles All 2 versions,"… and error, and discussing its implications for oxidative coupling of methane (OCM). We use 
… high-performance oxidation catalysts for methane. C–H activation in methane can occur via …","… and error, and discussing its implications for oxidative coupling of methane (OCM). We use 
… high-performance oxidation catalysts for methane. C–H activation in methane can occur via …"
Common features of oxidative coupling of methane cofeed catalysts,https://www.sciencedirect.com/science/article/pii/S0166983400844310,"JL Dubois, CJ Cameron - Applied catalysis, 1990 - Elsevier","JL Dubois, CJ Cameron - Applied catalysis, 1990",Elsevier,Save Cite Cited by 158 Related articles All 4 versions,"… Since the initial discovery of the oxidative coupling of methane reaction by Keller and Bhasin 
[ 11, over one hundred papers regarding the oxidative coupling of methane (OCM) reaction …","… Since the initial discovery of the oxidative coupling of methane reaction by Keller and Bhasin 
[ 11, over one hundred papers regarding the oxidative coupling of methane (OCM) reaction …"
Selective oxygen species for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S2468823117301566,"I Kim, G Lee, HB Na, JM Ha, JC Jung - Molecular Catalysis, 2017 - Elsevier","I Kim, G Lee, HB Na, JM Ha, JC Jung - Molecular Catalysis, 2017",Elsevier,Save Cite Cited by 75 Related articles All 2 versions,"… oxidative coupling of methane to C 2 hydrocarbons, the direct partial oxidation of methane 
to carbon monoxide, and the methane … play roles both in converting methane to CO x and in …","… oxidative coupling of methane to C 2 hydrocarbons, the direct partial oxidation of methane 
to carbon monoxide, and the methane … play roles both in converting methane to CO x and in …"
A critical assessment of Li/MgO-based catalysts for the oxidative coupling of methane,https://www.tandfonline.com/doi/abs/10.1080/01614940.2011.613330,"S Arndt, G Laugel, S Levchenko, R Horn… - Catalysis …, 2011 - Taylor & Francis","S Arndt, G Laugel, S Levchenko, R Horn… - Catalysis …, 2011",Taylor & Francis,Save Cite Cited by 243 Related articles All 6 versions,"… is always methane. Therefore, there is a large economical interest in making methane … 
for the conversion of methane into value added products is the oxidative coupling (OCM) to …","… is always methane. Therefore, there is a large economical interest in making methane … 
for the conversion of methane into value added products is the oxidative coupling (OCM) to …"
Revisiting the oxidative coupling of methane to ethylene in the golden period of shale gas: A review,https://www.sciencedirect.com/science/article/pii/S1226086X16300429,"A Galadima, O Muraza - Journal of Industrial and Engineering Chemistry, 2016 - Elsevier","A Galadima, O Muraza - Journal of Industrial and Engineering Chemistry, 2016",Elsevier,Save Cite Cited by 215 Related articles All 5 versions,"… an economical process that can upgrade methane gas obtained from conventional natural … 
a process called oxidative coupling, which proceeds by the catalytic reaction of methane with …","… an economical process that can upgrade methane gas obtained from conventional natural … 
a process called oxidative coupling, which proceeds by the catalytic reaction of methane with …"
Catalytic oxidative coupling of methane—reaction engineering aspects and process schemes,https://www.sciencedirect.com/science/article/pii/0378382094001219,"L Mleczko, M Baerns - Fuel Processing Technology, 1995 - Elsevier","L Mleczko, M Baerns - Fuel Processing Technology, 1995",Elsevier,Save Cite Cited by 168 Related articles All 6 versions,"Catalytic oxidative coupling of methane to higher hydrocarbons (OCM) has attracted widespread 
attention as a potential route to ethylene or liquid fuels. Besides tremendous research …","Catalytic oxidative coupling of methane to higher hydrocarbons (OCM) has attracted widespread 
attention as a potential route to ethylene or liquid fuels. Besides tremendous research …"
Ce-Doped La2O3 based catalyst for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S1566736713002896,"VJ Ferreira, P Tavares, JL Figueiredo, JL Faria - Catalysis Communications, 2013 - Elsevier","VJ Ferreira, P Tavares, JL Figueiredo, JL Faria - Catalysis Communications, 2013",Elsevier,Save Cite Cited by 73 Related articles All 3 versions,"The effect of ceria was studied on the oxidative coupling of methane (OCM) with Ce-doped 
La 2 O 3 in a La:Ce molar ratio of 75:25 using two preparation methods. The characterisation …","The effect of ceria was studied on the oxidative coupling of methane (OCM) with Ce-doped 
La 2 O 3 in a La:Ce molar ratio of 75:25 using two preparation methods. The characterisation …"
Developing catalytic materials for the oxidative coupling of methane through statistical analysis of literature data,https://pubs.rsc.org/en/content/articlehtml/2014/cy/c4cy01443j,"EV Kondratenko, M Schlüter, M Baerns… - Catalysis Science & …, 2015 - pubs.rsc.org","EV Kondratenko, M Schlüter, M Baerns… - Catalysis Science & …, 2015",pubs.rsc.org,Save Cite Cited by 98 Related articles All 3 versions,"… were devoted to the oxidative coupling of methane (OCM) to … a methane conversion higher 
than 0.30. The low selectivity to C 2 hydrocarbons at industrially relevant degrees of methane …","… were devoted to the oxidative coupling of methane (OCM) to … a methane conversion higher 
than 0.30. The low selectivity to C 2 hydrocarbons at industrially relevant degrees of methane …"
Oxidative coupling of methane over lanthana catalysts: I. Identification and role of specific active-sites,https://www.sciencedirect.com/science/article/pii/S0021951785710469,"S Lacombe, C Geantet, C Mirodatos - Journal of Catalysis, 1995 - Elsevier","S Lacombe, C Geantet, C Mirodatos - Journal of Catalysis, 1995",Elsevier,Save Cite Cited by 142 Related articles All 7 versions,"… conditions of the oxidative coupling of methane (OCM… oxidation pathway, while basic sites 
associated with oxygen vacancies enable the oxygen activation leading to the initial methane …","… conditions of the oxidative coupling of methane (OCM… oxidation pathway, while basic sites 
associated with oxygen vacancies enable the oxygen activation leading to the initial methane …"
Oxidative coupling of methane over Y2O3CaO catalysts,https://www.sciencedirect.com/science/article/pii/S0166983400821879,"Y Osada, S Koike, T Fukushima, S Ogasawara… - Applied catalysis, 1990 - Elsevier","Y Osada, S Koike, T Fukushima, S Ogasawara… - Applied catalysis, 1990",Elsevier,Save Cite Cited by 97 Related articles All 4 versions,"Binary oxides of Y 2 O 3 single bondCaO were evaluated as catalysts in the oxidative 
coupling of methane to C 2+ (sum of C 2 H 6 , C 2 H 4 , C 3 H 8 , and C 3 H 6 ) hydrocarbons. …","Binary oxides of Y 2 O 3 single bondCaO were evaluated as catalysts in the oxidative 
coupling of methane to C 2+ (sum of C 2 H 6 , C 2 H 4 , C 3 H 8 , and C 3 H 6 ) hydrocarbons. …"
The relationship between catalyst morphology and performance in the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/002195179290055M,"JSJ Hargreaves, GJ Hutchings, RW Joyner, CJ Kiely - Journal of Catalysis, 1992 - Elsevier","JSJ Hargreaves, GJ Hutchings, RW Joyner, CJ Kiely - Journal of Catalysis, 1992",Elsevier,Save Cite Cited by 94 Related articles All 6 versions,"A detailed study of the oxidative coupling of methane over magnesium oxide and lithium-doped 
MgO catalysts is presented. The morphology of a number of different catalysts has been …","A detailed study of the oxidative coupling of methane over magnesium oxide and lithium-doped 
MgO catalysts is presented. The morphology of a number of different catalysts has been …"
Catalyst design for methane oxidative coupling by using artificial neural network and hybrid genetic algorithm,https://www.sciencedirect.com/science/article/pii/S0009250902004323,"K Huang, XL Zhan, FQ Chen, DW Lü - Chemical Engineering Science, 2003 - Elsevier","K Huang, XL Zhan, FQ Chen, DW Lü - Chemical Engineering Science, 2003",Elsevier,Save Cite Cited by 126 Related articles All 7 versions,"… for industrialization of methane oxidative coupling. The research … is one important technology 
for methane conversion. The key … better catalysts for oxidative coupling of methane, further …","… for industrialization of methane oxidative coupling. The research … is one important technology 
for methane conversion. The key … better catalysts for oxidative coupling of methane, further …"
Effect of electronic properties of catalysts for the oxidative coupling of methane on their selectivity and activity,https://www.tandfonline.com/doi/abs/10.1080/01614949408009470,"Z Zhang, XE Verykios, M Baerns - Catalysis Reviews, 1994 - Taylor & Francis","Z Zhang, XE Verykios, M Baerns - Catalysis Reviews, 1994",Taylor & Francis,Save Cite Cited by 156 Related articles All 6 versions,"… The oxidative coupling of methane (OCM) to higher hydrocarbons may eventually 
become an interesting alternative for the chemical utilization of natural gas. Extensive …","… The oxidative coupling of methane (OCM) to higher hydrocarbons may eventually 
become an interesting alternative for the chemical utilization of natural gas. Extensive …"
"The oxidative coupling of methane over alkali, alkaline earth, and rare earth oxides",https://pubs.acs.org/doi/abs/10.1021/ie00081a004,"JM DeBoy, RF Hicks - Industrial & engineering chemistry research, 1988 - ACS Publications","JM DeBoy, RF Hicks - Industrial & engineering chemistry research, 1988",ACS Publications,Save Cite Cited by 189 Related articles All 3 versions,"… We began studying the oxidative coupling of methane in 1984. Our initial work focused 
on the effect of the support composition on catalysis by supported lead oxide. In these …","… We began studying the oxidative coupling of methane in 1984. Our initial work focused 
on the effect of the support composition on catalysis by supported lead oxide. In these …"
Autothermal oxidative coupling of methane with ambient feed temperature,https://www.sciencedirect.com/science/article/pii/S1385894717311385,"S Sarsani, D West, W Liang, V Balakotaiah - Chemical Engineering Journal, 2017 - Elsevier","S Sarsani, D West, W Liang, V Balakotaiah - Chemical Engineering Journal, 2017",Elsevier,Save Cite Cited by 50 Related articles All 3 versions,"We report the exploitation of thermal effects and bifurcation (ignition and extinction) behavior 
to enable steady-state operation of an Oxidative Coupling of Methane (OCM) reactor with …","We report the exploitation of thermal effects and bifurcation (ignition and extinction) behavior 
to enable steady-state operation of an Oxidative Coupling of Methane (OCM) reactor with …"
